id;date_debut;date_fin;justification
1;2021-01-28;2021-01-29;parse Azerbaijan
2;2021-01-29;2021-01-29;Fantastic Steel Shirt Solomon Islands Dollar cross-platform
3;2021-01-29;2021-01-28;New Taiwan Dollar
4;2021-01-29;2021-01-29;methodologies magenta
5;2021-01-29;2021-01-29;Computers Interactions
6;2021-01-28;2021-01-29;benchmark synergistic
7;2021-01-28;2021-01-29;wireless
8;2021-01-29;2021-01-28;Lead parsing
9;2021-01-28;2021-01-29;Tasty Granite Car orchestration West Virginia
10;2021-01-28;2021-01-29;incentivize Product Samoa
