id;nom;prefixe;description
1;Internal Money Market Account;Horizontal e-tailers;Wall calculate envisioneer
2;Networked;compressing metrics;Florida back-end
3;multimedia;Generic redefine synthesize;withdrawal Leone
4;El Salvador;US Dollar Supervisor;Streamlined zero defect Incredible Metal Cheese
5;Licensed Fresh Table Orchestrator calculating;quantifying;infrastructures
6;SDD;hierarchy encoding;facilitate convergence
7;Dynamic;Movies best-of-breed;Steel
8;Corporate incubate;Configuration USB;Assimilated Forward
9;Borders Steel multimedia;hack Cambridgeshire Walk;overriding
10;Malaysian Ringgit Borders;New York;navigate Extended
