id;nom;prefixe;description
1;JSON EXE optimizing;calculating;Orchestrator
2;transmitting District;Specialist;Electronics Unbranded Rubber Computer payment
3;Designer multi-byte;navigate Rand Namibia Dollar focus group;portals New Mexico
4;pixel experiences customized;International virtual;program Avon
5;Developer;Officer;Mexican Peso Mexican Unidad de Inversion (UDI) Tasty Granite Chicken optimize
6;Minnesota Freeway best-of-breed;Supervisor;Sleek
7;cross-media;Avon Customizable Graphical User Interface;model
8;Directives;Paraguay Texas Assurance;Libyan Dinar Cotton
9;Bedfordshire Intranet;indigo invoice Awesome;deploy Polarised
10;Trace Camp;technologies Legacy;Consultant Intuitive Facilitator
