id;nom;prefixe;description;date_debut;date_fin
1;best-of-breed Shirt;zero administration methodologies;Chips;2021-01-29;2021-01-29
2;TCP array;non-volatile Bedfordshire vortals;turn-key withdrawal;2021-01-29;2021-01-28
3;Toys Buckinghamshire override;Assurance backing up;Nevada AGP Minnesota;2021-01-29;2021-01-29
4;leverage Soap installation;sexy azure Point;Response Chair Practical Wooden Soap;2021-01-29;2021-01-29
5;cross-platform;Cape Verde New Hampshire;mission-critical Borders revolutionize;2021-01-29;2021-01-29
6;haptic;Senior Car;Buckinghamshire;2021-01-29;2021-01-29
7;Fresh discrete;matrix;policy grid-enabled Jewelery;2021-01-28;2021-01-28
8;Metal Orchestrator California;HTTP;Computers;2021-01-29;2021-01-29
9;New Zealand payment;Future Orchestrator;turquoise online;2021-01-29;2021-01-29
10;Australian Dollar Cotton;tan programming;world-class hack silver;2021-01-29;2021-01-28
